index,Population_Density,Unemployment_Rate,Police_Station_Distance,Number_of_Schools,Average_Income,Age_Group_Ratio_15_24,Age_Group_Ratio_25_44,Age_Group_Ratio_45_plus,Poverty_Rate,School_Dropout_Rate,Housing_Quality,Access_to_Public_Transport,Recreational_Facilities,Single_Parent_Household_Rate,CCTV_Cameras,Drug_Hospital_Admissions,Police_Patrol_Frequency,Emergency_Response_Time,Youth_Unemployment_Rate,Alcohol_Outlet_Density,Distance_to_High_Risk_Areas,Mental_Health_Services,Total_Crime_in_Month
72,64453,53.1,29.5,102,11704,39.3,3.4,57.3,98.2,60.9,58.3,12.4,186,83.4,125,109,12,428.8,100.0,317,8.07769012664578,102,152
73,30358,35.9,8.3,43,99567,76.7,1.5,21.8,41.4,6.7,17.6,88.6,233,37.2,380,195,256,388.8,61.8,350,41.196149293261946,185,99
74,61115,47.6,16.2,396,72856,12.5,41.8,45.8,55.3,97.3,58.1,77.9,362,97.0,109,149,440,358.1,80.6,290,3.363283299709709,232,87
75,37386,74.7,24.5,73,44534,4.9,64.6,30.5,29.1,85.5,91.2,30.8,416,48.0,208,175,47,169.8,100.0,122,37.08734686567713,108,82
76,3790,82.2,11.2,385,79035,28.5,53.9,17.6,57.8,65.3,41.4,98.4,467,16.5,63,106,44,216.0,100.0,445,15.683217252744573,240,177
77,75580,34.1,22.1,240,58109,16.1,59.6,24.3,63.8,96.9,1.0,21.8,395,27.7,185,38,114,45.7,42.1,131,32.05629662239076,76,62
78,5995,31.2,8.9,162,42792,41.9,27.3,30.7,23.6,85.2,59.6,3.6,79,85.3,420,107,268,454.6,67.6,103,28.530281318507463,150,20
79,55052,6.4,28.7,287,52047,10.5,64.1,25.4,45.8,16.8,20.0,97.6,35,78.2,242,73,303,203.9,14.9,472,4.812885966863423,108,100
80,96411,36.1,21.2,292,95255,27.3,9.8,62.9,68.3,25.7,8.4,78.8,347,38.7,443,118,100,20.8,97.7,294,29.721413785121097,119,101
81,32321,6.6,13.6,93,35180,17.7,13.3,68.9,71.5,54.6,31.1,61.8,230,76.3,237,112,307,243.5,17.5,91,10.778217544737686,96,13
82,87152,18.5,15.5,359,16120,75.4,1.2,23.4,39.0,72.3,34.5,30.9,142,19.4,379,22,262,247.5,53.8,484,9.978285566606084,58,88
83,75849,25.9,27.6,165,96814,10.0,20.4,69.6,21.7,41.5,37.3,46.7,47,48.5,61,108,302,227.2,43.0,395,18.0638302601548,91,76
84,65336,64.3,16.3,477,43831,33.6,59.4,7.0,19.2,35.8,50.1,22.1,272,65.6,83,21,326,202.6,100.0,366,24.42179312291473,182,93
85,31581,68.7,4.8,39,99643,53.5,16.7,29.8,13.8,1.5,58.4,99.0,178,95.6,468,5,294,369.6,100.0,421,30.649874014558403,230,74
86,14149,44.1,19.5,494,16959,35.5,0.8,63.7,5.0,16.5,17.9,46.0,385,87.4,41,59,436,405.5,93.2,30,22.594785309056352,69,6
87,4411,84.5,11.7,464,21933,23.6,64.7,11.7,97.1,49.1,65.8,71.4,97,3.7,352,130,76,289.9,100.0,67,17.480054118296128,150,73
88,45445,44.5,4.7,178,48990,36.6,53.7,9.8,48.0,50.9,41.8,53.2,157,91.9,455,66,12,400.1,100.0,180,21.8645650509415,45,68
89,12778,7.4,3.1,22,48560,45.2,45.0,9.7,50.8,97.9,85.0,41.5,147,37.4,4,8,234,175.9,17.5,412,27.614526066905988,183,78
90,14699,68.0,18.7,478,99051,54.4,43.7,1.9,25.5,68.9,70.5,67.6,58,32.8,419,52,96,103.3,70.7,265,6.803101678463362,43,98
91,36737,79.0,8.2,366,61456,48.9,23.5,27.6,30.9,40.6,8.5,14.6,32,10.3,44,59,250,105.9,100.0,300,4.210569532446312,199,111
92,53204,52.2,11.9,476,17374,59.3,23.9,16.9,18.6,59.9,48.5,91.3,473,57.3,322,39,269,203.3,87.3,192,16.209192166821644,153,46
93,94026,32.6,8.5,222,46866,10.1,76.3,13.6,24.0,98.7,60.4,90.4,370,28.4,226,46,169,111.1,62.0,186,26.471851380419444,197,45
94,15119,79.9,15.5,277,25981,4.3,94.7,1.0,28.1,25.2,18.6,34.7,145,6.5,158,22,129,305.3,100.0,392,37.32574551283894,138,93
95,68022,97.1,7.0,407,73564,21.6,43.9,34.5,54.0,96.3,51.6,84.6,322,18.0,454,107,499,348.5,100.0,418,7.316636650856893,32,113
96,63468,42.6,15.7,449,26306,69.0,2.7,28.3,7.2,68.4,40.4,25.3,418,83.9,9,115,247,197.8,70.8,74,44.35798260387808,190,31
97,4931,21.8,25.5,254,11327,28.0,55.0,17.0,72.6,50.8,33.2,35.8,365,7.3,64,2,249,394.1,21.9,493,11.998807814868403,203,104
98,54917,39.7,29.9,17,65230,36.1,46.4,17.5,7.2,4.6,17.1,92.3,149,26.2,178,62,43,490.8,76.3,495,18.198279208109025,105,143
99,24002,29.2,4.8,351,39993,28.6,29.5,41.9,7.5,58.9,74.7,22.3,326,59.1,97,83,425,126.1,53.5,454,42.46392450842599,123,59
0,13459,97.0,16.9,144,34571,3.2,35.1,61.7,59.5,90.1,4.7,8.8,173,14.9,9,96,79,9.9,100.0,1,1.3873758528956082,8,77
1,1705,88.6,15.0,146,28183,19.2,26.2,54.6,49.4,95.3,43.1,3.9,147,41.2,26,257,86,9.6,100.0,7,5.785445073634529,7,96
2,10928,6.0,8.5,22,28397,22.9,35.3,41.8,93.8,82.8,69.7,4.0,165,45.6,19,232,18,41.7,7.7,15,10.707515305608704,18,77
3,11596,30.9,13.6,21,48850,69.9,29.7,0.3,64.4,18.2,17.1,7.5,195,5.5,19,345,95,14.5,88.6,18,4.6107122051885785,3,94
4,13110,32.0,7.5,138,32859,27.3,72.1,0.7,80.3,70.8,79.3,5.9,51,64.4,30,336,35,13.9,68.0,9,4.313525881948861,18,89
5,4340,38.5,25.4,43,46907,35.7,0.9,63.3,11.0,85.4,76.4,4.2,37,14.4,10,44,98,13.3,64.5,11,3.8403388043265,14,8
6,15784,85.0,5.8,130,49818,8.3,52.3,39.4,6.3,89.7,19.8,4.8,173,90.7,3,65,62,36.8,100.0,8,3.12674221365537,16,48
7,2331,78.9,9.6,44,25760,27.6,7.4,65.1,48.2,19.3,72.3,2.5,38,6.4,44,5,39,44.6,100.0,16,2.416171294992163,19,72
8,14207,56.0,7.1,114,23188,10.7,16.7,72.6,100.0,13.4,24.7,6.5,191,33.0,49,493,12,20.3,100.0,3,8.709492840026224,2,128
9,3697,13.2,7.0,141,45609,35.9,9.4,54.7,65.8,81.2,42.4,9.2,67,61.9,8,145,59,39.3,17.9,9,7.623448256443593,6,46
10,5894,49.5,12.0,59,21402,19.5,18.8,61.8,18.1,35.8,42.1,1.8,184,90.1,30,116,29,45.4,98.1,13,14.608353485917474,6,45
11,14624,17.7,10.2,131,28423,21.2,64.9,13.9,15.5,1.4,65.7,4.6,86,46.1,28,33,7,35.8,23.4,5,9.122188930388235,8,18
12,6512,62.7,23.9,132,20914,17.5,1.5,81.0,12.0,55.9,4.0,8.4,110,6.9,30,307,99,45.7,100.0,3,3.158449812481495,10,80
13,19347,14.8,14.5,45,32680,26.8,45.4,27.9,51.8,19.0,7.3,1.7,199,59.3,37,455,85,3.6,23.2,14,14.80086782142905,15,72
14,15193,62.8,14.4,27,15284,47.6,42.8,9.7,31.9,6.2,63.0,8.9,111,94.5,40,481,85,24.8,100.0,14,4.817543395942284,14,110
15,9520,4.5,20.8,20,26296,87.1,8.7,4.1,91.4,61.6,27.2,6.6,44,53.4,8,79,78,16.4,9.5,13,2.2686569675261867,14,29
16,5289,73.0,23.6,140,27175,30.1,63.3,6.5,55.5,83.4,54.5,6.0,97,81.4,30,481,91,20.7,100.0,8,7.124542537594511,7,126
17,12953,53.5,14.8,62,39311,15.4,56.3,28.3,12.9,99.2,98.5,7.1,130,32.2,39,216,81,49.6,60.3,15,4.8409977015806,10,43
18,4494,11.5,1.2,58,31864,4.3,89.1,6.6,86.5,87.5,15.9,8.9,185,84.2,3,371,37,35.6,19.5,19,4.93464494519341,17,73
19,18514,92.7,14.7,17,49306,19.1,72.5,8.4,95.5,42.3,52.9,3.8,138,5.2,39,190,31,25.4,100.0,12,5.506919882641159,2,109
20,8874,88.2,14.6,71,32929,10.5,43.6,45.8,65.6,11.8,62.4,1.1,179,90.3,33,344,75,36.0,100.0,19,5.78984473907954,11,109
21,8313,15.4,24.9,36,17992,21.0,8.3,70.7,44.7,77.2,71.2,9.8,181,27.3,20,177,49,33.4,16.6,4,3.458138698368177,15,40
22,16392,81.4,22.1,100,15926,12.3,32.2,55.5,68.2,50.6,100.0,4.6,174,40.5,35,230,61,38.4,100.0,14,12.149283360255597,2,117
23,16952,9.4,10.6,44,24043,65.6,9.0,25.5,78.2,61.5,63.5,6.5,128,63.9,43,359,70,27.0,18.9,19,6.410066221568925,12,88
24,5412,41.6,3.3,62,24609,62.0,35.1,2.9,60.1,10.9,58.6,3.4,43,61.7,44,211,90,17.0,55.8,7,11.176232570173257,11,49
25,16484,95.6,2.2,95,40721,3.5,25.3,71.3,38.0,29.9,11.3,8.8,67,64.1,30,142,24,3.9,100.0,6,13.827841195715026,7,94
26,9108,87.5,3.2,19,17969,11.7,27.5,60.8,81.9,88.3,43.7,4.5,168,54.2,27,254,3,38.7,100.0,6,3.2664433402306163,5,114
27,19722,89.4,4.6,45,43509,51.0,17.4,31.6,12.8,68.8,26.1,4.3,92,47.1,14,454,38,33.8,100.0,2,14.50356757450558,6,111
28,13083,10.2,5.6,12,49148,22.4,4.6,73.0,87.6,95.0,50.1,9.8,34,54.1,30,133,79,40.1,18.0,13,10.68425499685369,1,55
29,17759,64.1,6.8,34,40823,20.3,54.0,25.8,65.0,56.9,84.1,8.7,42,25.7,16,99,81,41.2,100.0,2,13.583852017827368,5,78
30,9906,86.4,27.8,15,15272,58.9,19.5,21.5,43.2,51.6,5.8,9.9,56,13.9,29,271,16,16.6,100.0,3,10.851008351251108,15,89
31,3864,72.1,13.5,75,43629,20.6,60.4,19.0,24.8,6.3,52.4,3.1,67,64.9,49,318,57,45.9,100.0,8,10.270590765898683,8,79
32,16352,83.5,24.8,116,32365,37.3,24.7,38.0,44.7,8.8,19.2,8.4,180,13.1,15,307,18,1.9,91.3,3,4.424384769800716,4,100
33,15170,71.3,7.2,86,42655,4.0,44.0,52.0,44.6,47.3,79.0,1.6,32,3.2,14,167,53,40.3,100.0,18,2.6707608717907085,8,88
34,1380,28.4,10.1,88,41031,54.9,38.2,6.9,14.7,2.7,71.3,7.9,194,23.8,45,126,37,9.9,45.6,17,6.616721378283166,14,39
35,19986,85.3,4.1,18,30371,60.2,5.1,34.8,100.0,64.8,16.9,6.9,197,81.6,27,400,68,23.6,100.0,9,10.676914107286592,7,132
36,19741,41.5,19.1,66,40561,59.3,29.0,11.7,62.9,64.6,6.9,6.3,150,3.0,38,88,47,7.7,77.3,7,9.4423220936935,10,43
37,11158,5.5,1.9,132,26042,0.6,13.6,85.8,20.4,3.7,89.0,7.5,38,85.9,1,212,36,47.2,7.7,10,5.71627862369396,15,23
38,14890,14.9,22.7,131,48270,83.2,11.6,5.2,14.4,85.2,43.7,8.0,182,51.9,32,91,13,35.7,29.4,3,6.249215281415364,11,22
39,19341,79.0,24.8,20,21666,66.1,18.1,15.7,39.2,9.6,55.4,8.6,127,84.9,16,120,51,41.3,82.2,2,8.79203195660052,17,74
40,10213,69.3,14.1,127,14528,25.8,31.1,43.1,14.7,93.4,54.9,7.0,102,31.5,31,482,93,34.3,100.0,2,3.332388116311342,12,79
41,11865,23.9,22.0,16,17509,8.1,57.7,34.1,12.9,95.3,19.7,4.0,188,73.7,47,294,77,8.9,59.4,14,1.341352393329011,1,62
42,18197,53.5,20.6,101,30151,7.1,39.6,53.3,68.1,81.2,25.5,9.6,153,21.9,36,177,64,3.5,64.6,11,13.819476729359437,12,73
43,8752,9.9,8.5,135,13709,6.7,80.1,13.2,12.1,48.4,14.7,8.6,137,53.2,13,175,97,19.6,17.2,2,7.188650474095608,10,17
44,2685,77.7,19.0,47,35534,66.3,5.8,27.9,8.3,92.4,34.2,3.6,112,62.2,35,245,73,48.9,100.0,18,7.0045301434104825,17,96
45,19279,71.6,16.3,30,25237,15.5,29.0,55.5,7.4,37.4,48.8,3.8,151,95.5,29,139,61,21.3,100.0,11,3.597742398231543,5,60
46,11895,75.3,14.0,55,44594,91.7,6.6,1.7,92.1,76.0,64.6,7.5,99,52.0,10,35,88,5.4,100.0,18,8.118451259204226,3,88
47,16550,34.1,6.5,101,41634,81.3,3.2,15.5,32.5,64.1,49.0,6.3,196,39.6,8,326,23,31.0,97.7,17,13.48786010533476,1,66
48,1151,70.7,13.8,48,39689,4.9,82.7,12.4,46.7,72.3,11.9,4.9,82,62.6,8,469,25,21.8,100.0,11,2.7589980042333107,18,116
49,10638,29.2,19.5,145,22737,37.8,55.7,6.5,93.7,35.8,7.8,9.0,137,36.4,39,203,43,38.8,74.0,1,10.68612541250892,9,68
50,19801,18.7,16.7,80,18452,36.2,58.7,5.1,17.0,91.6,31.0,1.3,183,26.5,35,427,50,31.1,55.5,1,12.726188221901584,13,67
51,19129,22.8,29.8,62,27006,29.2,54.9,15.9,8.7,84.4,5.5,7.9,67,66.7,41,491,34,2.1,39.2,10,9.85816795586081,17,64
52,13190,67.7,16.0,1,14395,84.6,13.7,1.7,76.1,34.4,31.0,4.7,79,65.9,37,490,43,9.5,90.3,1,12.514938374443965,5,122
53,2953,96.5,12.9,7,23956,7.0,32.0,61.0,92.0,66.5,23.2,3.1,125,12.3,13,451,39,35.8,100.0,17,13.027472092544397,1,142
54,9506,76.4,20.0,76,16908,61.6,27.8,10.6,99.6,57.4,98.5,3.1,127,87.4,45,466,17,43.2,100.0,13,3.856289646726761,10,140
55,5892,91.1,24.1,32,16749,81.9,13.2,4.9,24.1,14.7,56.5,2.6,193,42.9,20,134,21,14.8,100.0,6,5.096540663621267,17,89
56,6304,55.9,27.9,21,42786,28.7,31.5,39.8,61.4,87.5,96.3,7.6,68,72.5,15,425,33,35.7,100.0,6,11.292915797498877,10,96
57,7049,40.6,8.6,124,38261,0.3,83.2,16.5,3.2,94.5,3.5,4.5,83,93.4,17,193,29,29.0,68.5,2,2.9610347120738965,4,58
58,11312,28.3,22.4,131,43453,28.6,25.6,45.9,83.4,81.3,80.1,1.5,190,52.0,42,429,16,27.9,83.1,7,7.314533036784409,13,96
59,12553,80.6,28.5,46,13101,27.1,59.3,13.7,68.6,2.9,94.1,8.7,132,96.9,41,442,36,26.9,100.0,6,11.820176988783322,17,134
60,6903,74.7,29.2,112,42805,61.7,24.4,13.9,51.9,53.5,64.0,6.9,46,65.5,18,324,76,3.6,100.0,1,3.0378406830450704,7,100
61,19864,89.0,2.5,89,45408,69.8,12.4,17.9,69.7,42.1,75.6,6.8,100,89.8,37,299,99,42.3,100.0,17,12.38925634075906,13,108
62,8739,80.7,25.1,134,17874,71.3,23.8,4.9,7.9,17.0,2.3,1.6,197,90.3,14,488,57,27.4,100.0,17,4.94011181920354,8,112
63,16429,63.1,6.4,15,19161,30.6,68.4,1.0,29.1,93.2,5.7,5.2,34,7.6,20,131,32,32.3,100.0,12,2.615610764063049,16,69
64,1596,97.0,17.8,101,45056,0.1,99.3,0.6,63.9,34.2,44.3,6.5,178,53.0,29,71,44,12.2,100.0,15,14.858823933184963,7,94
65,15315,61.4,2.9,130,19108,41.8,52.9,5.3,72.4,2.4,41.2,9.4,48,64.2,44,141,36,2.8,100.0,5,13.59102063189194,13,88
66,9073,19.4,8.8,145,30107,8.0,3.9,88.1,21.2,84.4,25.4,2.4,32,89.4,48,448,63,8.2,54.9,15,6.032858897503769,6,70
67,9771,39.7,21.2,49,20483,7.2,55.2,37.6,41.2,93.4,96.9,4.6,199,36.7,36,330,84,21.9,80.5,13,3.028304201144341,6,76
68,15860,62.2,5.8,79,36969,54.3,24.5,21.2,96.7,86.0,41.3,1.8,106,81.2,46,71,75,31.5,100.0,12,9.661856171747369,16,75
69,8462,65.2,26.8,128,12906,19.9,57.0,23.1,60.5,99.0,20.9,8.3,104,38.4,36,111,39,49.6,89.0,3,11.380555780742142,2,61
70,11692,89.7,6.0,101,31179,55.2,24.4,20.5,19.5,80.0,6.7,9.3,174,59.3,43,220,28,4.1,100.0,12,4.14612138610948,19,99
71,19565,90.7,8.9,44,36658,32.2,51.4,16.4,83.2,48.1,2.7,3.1,187,15.4,11,71,19,39.1,100.0,16,7.591696115979682,9,97
72,15922,98.1,6.4,113,43215,15.5,38.8,45.7,50.8,44.3,51.3,6.6,172,99.8,22,497,96,26.9,100.0,4,14.807871760958596,15,104
73,7635,14.7,8.3,22,12488,10.9,47.9,41.2,47.0,93.5,9.2,6.5,153,17.3,7,73,74,22.8,40.1,7,9.093225336372765,3,36
74,16357,48.0,19.8,67,23459,85.0,11.3,3.6,11.8,47.4,79.7,5.7,191,79.2,15,310,24,32.7,100.0,16,2.9984917526706845,19,50
75,10281,10.6,29.6,121,47434,45.1,35.0,20.0,84.1,6.3,78.6,2.2,179,29.4,25,355,85,23.7,14.8,15,6.249618099937115,2,20
76,11612,39.0,13.0,92,34054,74.0,4.1,21.9,6.4,62.5,84.3,1.6,178,13.3,10,127,37,35.4,45.7,13,14.080270845466918,11,44
77,18984,1.6,5.4,145,44974,17.3,14.6,68.0,82.3,1.0,58.7,1.5,131,9.6,19,261,20,15.5,3.1,15,11.909194607032854,2,52
78,6175,28.9,11.8,63,45366,13.2,28.7,58.1,87.1,41.2,69.4,5.5,82,11.5,34,313,95,48.0,44.9,14,8.433373391983173,10,83
79,17150,34.5,28.5,58,34011,37.6,18.6,43.8,64.8,69.0,41.2,6.3,58,9.3,39,313,60,31.6,98.7,14,1.352241398622707,19,72
80,8559,25.2,6.9,60,36164,7.5,31.9,60.5,32.9,3.8,38.8,1.4,189,93.8,9,115,5,20.2,43.3,18,9.22458856035319,15,50
81,16058,44.9,28.2,91,41533,36.1,9.7,54.1,57.7,12.2,90.6,8.3,41,9.3,19,206,85,33.4,100.0,13,10.38558221671679,5,81
82,16278,37.4,29.7,115,33102,45.8,7.6,46.6,52.9,14.1,20.1,7.8,156,55.8,20,464,87,3.7,73.9,16,13.737868438977053,9,83
83,14078,6.4,27.4,1,38521,18.4,63.3,18.3,15.9,95.5,74.8,8.9,87,71.6,19,342,83,1.5,11.8,14,1.1029663193594947,3,47
84,4124,7.3,10.5,27,25261,57.5,26.1,16.4,2.2,67.1,30.1,7.4,115,48.8,35,137,34,39.0,15.6,8,4.677416280305845,7,1
85,15069,18.8,19.8,58,15701,3.2,69.6,27.1,1.6,89.9,80.9,8.2,176,53.4,4,130,94,35.5,22.0,5,5.642432165413085,5,53
86,12702,86.6,26.5,145,23517,17.6,22.5,59.9,3.6,4.5,65.2,4.6,177,18.0,46,162,66,45.0,100.0,14,11.49603654162976,17,58
87,16832,81.9,7.6,81,12730,17.1,0.3,82.6,23.8,41.4,73.0,8.6,53,92.6,37,496,14,13.3,100.0,16,14.291823213435144,16,141
88,9565,44.8,2.3,71,44244,24.1,59.1,16.8,92.4,79.5,40.6,4.0,172,73.2,9,60,73,30.1,100.0,6,8.485178354163263,7,67
89,5848,18.3,8.7,88,30102,32.6,10.4,56.9,58.5,39.0,71.0,5.5,102,71.2,48,478,3,36.4,27.9,8,2.1499277886404364,16,78
90,9152,95.9,26.6,21,46837,41.7,32.9,25.5,79.1,73.6,77.8,6.9,35,10.1,42,231,13,47.3,100.0,15,1.1441412812209086,17,116
91,13943,45.5,8.9,72,16663,26.7,64.6,8.7,41.1,8.5,63.3,8.9,129,42.4,49,39,17,28.1,66.3,18,1.561608149966084,5,49
92,2468,98.7,12.8,129,13716,13.9,52.1,33.9,84.2,34.6,7.0,4.7,167,84.3,36,478,95,48.0,100.0,13,7.433007647365167,14,126
93,1855,96.4,5.8,128,17788,28.0,47.1,24.9,42.8,34.5,56.4,1.6,45,80.7,32,497,24,4.9,100.0,18,14.50506033236248,18,130
94,17204,24.7,6.5,134,15924,17.9,55.1,27.0,59.2,43.6,4.6,1.0,89,41.3,7,232,22,39.7,41.0,19,13.181217188051596,12,62
95,7397,65.7,26.3,15,42606,4.8,69.9,25.4,22.7,10.9,69.0,7.7,71,63.7,45,232,94,21.4,100.0,5,1.795995869122003,4,59
96,14089,31.9,5.2,15,41291,9.2,25.2,65.7,22.9,75.7,11.7,3.4,136,5.3,37,225,92,21.7,68.0,9,3.5524602899052184,16,55
97,10687,89.7,22.7,72,49712,32.7,56.3,11.0,40.0,87.4,34.2,3.6,167,39.5,14,230,14,12.8,100.0,11,8.736232650904505,13,95
98,2894,78.6,19.9,114,35350,25.6,3.5,70.9,17.5,23.9,27.3,6.5,195,63.4,27,47,51,29.3,100.0,2,3.0718335870193334,9,58
99,3882,32.7,24.5,36,43236,72.9,20.8,6.4,31.0,75.9,54.4,2.6,116,14.4,3,191,6,48.6,43.2,1,12.762595067764655,4,56
0,8050,72.7,27.5,177,36233,1.1,58.2,40.8,47.1,39.7,43.9,4.5,64,86.8,18,66,142,81.4,100.0,33,18.684101882196984,91,55
1,19897,61.2,14.6,22,49995,64.2,1.8,34.0,27.8,73.3,21.8,4.2,34,45.9,20,27,143,28.1,100.0,65,22.731609798815864,28,51
2,35314,50.9,15.0,92,39441,20.4,0.4,79.2,52.5,71.9,1.9,6.1,58,98.8,28,31,3,63.1,78.3,75,22.602309864961683,44,68
3,6144,38.6,22.7,161,23849,62.5,34.8,2.7,94.5,32.8,85.4,2.6,52,25.4,60,29,94,62.1,86.4,70,18.409888733395466,1,77
4,30868,1.5,24.3,22,12770,44.1,49.0,6.9,85.9,37.4,48.1,2.8,83,10.6,51,15,145,81.2,2.1,52,5.583715138640399,71,6
5,10455,74.0,2.5,79,18448,71.5,4.8,23.7,88.0,86.0,22.0,9.2,62,21.9,96,30,69,92.7,84.5,94,4.59946256896114,97,113
6,42461,33.8,11.1,3,16226,70.8,16.1,13.1,8.0,93.1,93.0,7.1,82,83.1,30,47,67,53.7,89.4,29,20.36722563026504,11,34
7,25308,41.0,26.8,116,28129,90.0,0.7,9.3,49.7,81.7,87.1,8.8,75,46.7,56,73,83,2.9,59.0,61,13.836817450129807,63,50
8,25817,1.5,25.6,215,47717,66.8,19.9,13.3,5.4,17.2,96.5,2.8,60,73.0,9,49,20,66.2,2.5,7,13.019854489840323,41,0
9,30815,16.7,29.8,138,13404,0.1,45.4,54.5,7.4,78.9,57.8,6.5,60,82.4,37,23,126,74.7,30.5,73,3.8101662111803303,34,19
10,43702,69.1,28.5,167,29717,10.3,86.1,3.5,82.6,24.2,95.8,8.9,42,22.6,50,21,52,2.1,100.0,33,19.09636445447156,76,82
11,38416,2.3,20.7,83,13881,29.3,1.2,69.5,98.0,82.0,30.7,1.6,83,98.5,76,54,163,19.7,4.5,41,10.229079127293792,93,28
12,7952,19.3,8.5,85,29614,25.1,26.7,48.2,3.2,69.7,68.5,8.6,64,86.6,85,6,52,43.1,55.8,34,19.520643159109863,49,13
13,17978,37.1,26.2,151,38313,81.8,2.8,15.5,39.9,76.0,73.3,6.3,62,8.5,19,75,175,79.6,65.0,65,13.483341730291988,57,64
14,41544,55.0,1.1,32,46027,26.5,54.8,18.7,1.6,39.9,59.1,8.6,50,47.2,65,86,13,47.2,100.0,54,22.051983481027875,83,68
15,26182,89.8,16.4,183,40470,35.0,34.8,30.1,19.4,15.8,77.2,7.9,89,99.2,98,48,69,94.1,100.0,15,14.462483139476712,4,55
16,35965,25.2,3.8,29,15010,30.1,40.3,29.6,72.7,91.0,77.9,2.2,61,86.7,7,60,155,10.0,43.4,60,21.1664342770321,66,35
17,21656,49.8,26.3,222,30525,6.9,5.4,87.7,93.2,95.9,99.1,2.4,73,52.6,41,27,166,96.4,59.5,55,24.298728495060605,7,47
18,45117,90.7,4.0,224,24265,20.2,49.1,30.7,54.9,80.0,37.8,7.1,96,82.3,59,6,140,2.1,100.0,38,12.596385129796856,94,81
19,17769,60.4,3.9,132,49262,7.6,49.7,42.7,14.7,56.0,62.6,2.4,47,26.4,16,77,157,79.3,91.3,52,5.826844556263715,95,87
20,11934,96.7,26.1,230,13420,11.4,47.0,41.6,54.5,15.0,85.1,2.3,40,46.9,1,69,50,11.4,100.0,29,10.151976495168263,99,83
21,34959,75.7,23.4,121,34332,25.8,15.7,58.5,68.2,71.9,92.6,2.7,80,1.3,12,43,153,50.0,100.0,75,5.126223503227748,1,74
22,31678,41.0,15.4,218,28323,8.7,54.3,37.0,65.4,29.9,62.3,6.5,64,92.3,32,93,138,99.0,100.0,50,4.596554898471752,63,78
23,33456,41.8,28.4,198,25536,25.3,41.0,33.7,44.1,70.9,15.3,6.2,53,67.5,81,29,85,77.3,100.0,47,4.410939171604188,14,48
24,38875,35.6,9.7,111,35893,2.5,61.5,36.0,39.8,99.4,76.9,7.5,50,2.0,70,94,156,27.9,41.6,70,10.242028972032877,17,43
25,8342,89.5,9.4,213,48539,13.2,86.3,0.4,7.8,40.5,94.6,9.4,81,4.9,28,3,24,57.9,100.0,30,3.993755938083873,75,69
26,23146,75.4,1.8,41,45809,33.6,39.1,27.2,33.9,55.2,90.8,9.9,81,47.4,48,49,190,31.8,100.0,80,13.91642663632145,30,59
27,18245,63.1,24.4,68,48464,81.3,16.1,2.6,98.9,67.5,17.4,8.4,97,74.2,96,42,179,44.9,100.0,98,9.833334830089823,23,82
28,22273,12.8,28.1,167,27565,73.1,11.0,16.0,48.8,17.1,34.6,2.1,76,25.0,75,35,175,64.6,17.9,4,11.618908864071711,20,6
29,34936,50.7,6.5,237,29778,0.5,48.6,50.9,21.2,51.1,4.0,9.0,68,73.6,40,40,164,97.4,97.3,2,16.07390605212121,27,31
30,24119,35.0,29.8,76,13736,22.1,5.5,72.4,14.9,2.9,91.6,6.5,43,71.0,72,75,75,16.4,78.1,24,13.94290589759128,98,25
31,14853,48.4,29.7,181,12652,6.8,38.0,55.2,64.8,39.0,11.3,9.2,76,93.8,37,64,148,13.1,88.8,72,2.713371305301054,26,67
32,49198,4.7,17.5,141,24297,0.6,92.5,6.9,66.8,84.8,10.1,1.4,66,18.0,82,23,120,86.9,9.8,3,5.586571125356358,95,20
33,2618,22.2,8.3,220,49603,45.0,7.9,47.1,96.6,47.3,53.7,8.5,74,85.3,88,16,186,56.9,39.5,12,3.896455565577268,44,18
34,27543,17.9,3.6,170,21794,2.3,61.0,36.7,68.4,64.2,31.8,1.6,58,8.5,50,3,21,17.2,35.5,29,19.81979591608077,63,28
35,37938,72.8,11.1,110,23040,30.6,35.0,34.3,24.2,29.2,31.8,4.2,57,23.4,8,21,113,53.3,100.0,13,1.097802894546979,35,59
36,26293,35.8,15.0,244,23144,28.7,37.8,33.5,26.2,27.0,83.9,3.9,67,64.3,73,15,65,52.3,87.0,17,2.1808307161422062,88,40
37,3295,53.4,15.3,157,40674,29.3,5.3,65.4,95.0,76.8,69.2,7.0,92,100.0,33,87,157,65.8,100.0,51,14.859707393735288,11,77
38,26014,8.6,11.6,2,21961,68.5,31.2,0.3,43.9,3.1,64.3,6.2,81,80.4,99,32,198,90.3,22.9,87,4.577466520946031,26,32
39,5778,96.0,13.6,26,46790,83.3,0.4,16.3,78.9,99.7,77.2,1.6,46,72.5,63,87,154,67.2,100.0,50,12.034384622951393,10,111
40,20610,84.4,18.7,32,40606,13.4,13.9,72.7,74.3,82.7,49.9,7.0,87,33.8,99,82,93,68.4,100.0,38,9.189151843888189,30,76
41,10217,16.7,12.6,103,24330,57.6,5.0,37.5,33.8,85.0,10.6,3.4,32,5.6,73,89,77,96.5,48.7,54,7.406929851614443,56,34
42,49848,28.2,19.8,176,33731,58.8,24.9,16.3,96.9,70.8,48.5,8.8,76,72.2,17,31,193,92.7,48.4,95,10.767694524933264,11,50
